r,g,b
0.23727085,0.99567235,0.16107541
0.23713178934748835,0.996147671864319,0.16069592190056967
0.2369927286949767,0.996622993728638,0.1603164338011393
0.23685366804246505,0.997098315592957,0.15993694570170897
0.2367146073899534,0.997573637457276,0.15955745760227863
0.23657554673744174,0.998048959321595,0.15917796950284827
0.2364364860849301,0.9985242811859141,0.15879848140341793
0.2364031480217504,0.9988849662765407,0.1587441582651476
0.23653728202485758,0.9990640586017607,0.15920491944588297
0.2366714160279648,0.9992431509269808,0.15966568062661834
0.23680555003107198,0.999422243252201,0.1601264418073537
0.23693968403417917,0.999601335577421,0.16058720298808907
0.2370738180372864,0.9997804279026411,0.16104796416882444
0.23720795204039358,0.9999595202278612,0.16150872534955982
0.23719450137234593,0.9995170552045572,0.16140365322112893
0.23713795075608493,0.9988930734334541,0.16113333773692387
0.23708140013982393,0.9982690916623511,0.16086302225271878
0.23702484952356292,0.9976451098912481,0.16059270676851373
0.23696829890730192,0.997021128120145,0.16032239128430864
0.23691174829104092,0.996397146349042,0.16005207580010355
0.23740689151216987,0.9931549530295184,0.16595899270844128
0.24077788558777835,0.9762646356809943,0.20406637634386332
0.24414887966338686,0.9593743183324702,0.24217375997928547
0.24751987373899534,0.9424840009839461,0.2802811436147075
0.25089086781460385,0.925593683635422,0.31838852725012956
0.2542618618902123,0.908703366286898,0.3564959108855516
0.2576328559658208,0.8918130489383739,0.39460329452097365
0.25943205843086486,0.8551763494044534,0.4147787266286898
0.25993453281719314,0.8022488845675813,0.4201602987260487
0.2604370072035215,0.7493214197307094,0.42554187082340755
0.2609394815898498,0.6963939548938372,0.43092344292076645
0.26144195597617814,0.6434664900569653,0.4363050150181253
0.2619444303625065,0.590539025220093,0.4416865871154842
0.2624469047488348,0.5376115603832209,0.4470681592128431
0.2554331745209736,0.5324867560590367,0.45217140986017607
0.24789633847747278,0.530688876825479,0.45725529015018124
0.24035950243397203,0.5288909975919213,0.4623391704401864
0.23282266639047122,0.5270931183583636,0.46742305073019164
0.22528583034697044,0.5252952391248058,0.4725069310201968
