time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance,position_covariance_type
2022/03/21/14:40:52.015521,31712,1647841251,899970403,gps,2,1,37.3656142,126.7247731,33.255,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.123599,31713,1647841251,999970380,gps,2,1,37.365612,126.724771,33.255,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.216743,31714,1647841252,99970355,gps,2,1,37.3656097,126.7247688,33.258,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.318414,31715,1647841252,199970331,gps,2,1,37.3656073,126.7247666,33.258,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.412990,31716,1647841252,299970307,gps,2,1,37.3656048,126.7247643,33.26,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.516262,31717,1647841252,399970283,gps,2,1,37.3656023,126.7247619,33.261,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.626284,31718,1647841252,499970259,gps,2,1,37.3655996,126.7247594,33.259,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.717107,31719,1647841252,599970236,gps,2,1,37.3655969,126.7247568,33.259,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.817316,31720,1647841252,699970212,gps,2,1,37.3655941,126.7247542,33.26,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:52.914534,31721,1647841252,799970188,gps,2,1,37.3655912,126.7247514,33.26,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.015523,31722,1647841252,899970164,gps,2,1,37.3655882,126.7247486,33.261,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.120432,31723,1647841252,999970141,gps,2,1,37.3655851,126.7247457,33.263,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.219200,31724,1647841253,99970116,gps,2,1,37.365582,126.7247428,33.265,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.318691,31725,1647841253,199970092,gps,2,1,37.3655787,126.7247397,33.265,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.415972,31726,1647841253,299970068,gps,2,1,37.3655754,126.7247366,33.268,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.514458,31727,1647841253,399970044,gps,2,1,37.365572,126.7247334,33.269,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.622150,31728,1647841253,499970021,gps,2,1,37.3655686,126.7247302,33.269,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.715743,31729,1647841253,599969997,gps,2,1,37.3655651,126.7247269,33.269,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.814801,31730,1647841253,699969973,gps,2,1,37.3655615,126.7247236,33.27,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:53.916236,31731,1647841253,799969949,gps,2,1,37.3655579,126.7247202,33.271,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.014752,31732,1647841253,899969925,gps,2,1,37.3655543,126.7247168,33.271,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.119722,31733,1647841253,999969902,gps,2,1,37.3655506,126.7247133,33.273,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.211842,31734,1647841254,99969877,gps,2,1,37.3655469,126.7247098,33.275,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.317990,31735,1647841254,199969853,gps,2,1,37.3655431,126.7247062,33.276,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.415346,31736,1647841254,299969829,gps,2,1,37.3655393,126.7247026,33.279,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.516730,31737,1647841254,399969806,gps,2,1,37.3655354,126.7246989,33.281,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
2022/03/21/14:40:54.623484,31738,1647841254,499969782,gps,2,1,37.3655315,126.7246953,33.282,"(0.00019600000000000002, 0.0, 0.0, 0.0, 0.00019600000000000002, 0.0, 0.0, 0.0, 0.0001)",2
