r,g,b
0.8994509,0.30018872,0.40552786
0.8423674,0.28068185,0.45934767
0.8544197,0.3215682,0.54149413
1.0,0.48537448,0.3339138
0.89061147,0.43679005,0.27804714
0.8784684,0.4737213,0.25554928
0.8438486,0.49773005,0.25795728
0.810743,0.5204061,0.2571501
0.75896,0.5205008,0.28637242
0.7128191,0.51945925,0.30859703
0.60465354,0.45392972,0.38267267
0.54774237,0.4165103,0.4567309
0.54480916,0.42907482,0.43816704
0.54749715,0.43172717,0.45505938
0.5306175,0.43000942,0.45303676
0.5246903,0.42891654,0.42263365
0.52817523,0.44459647,0.40814474
0.49731916,0.43341705,0.43945557
0.46876094,0.41664237,0.45780638
0.46844667,0.4256422,0.46470243
0.47716293,0.43424046,0.4549722
0.4737569,0.43629026,0.45483223
0.47199693,0.4394996,0.4553773
0.470591,0.4424848,0.45504987
0.47032842,0.4487705,0.45212764
0.46430293,0.4499666,0.45016456
0.47239298,0.45508108,0.4362236
0.46342003,0.4488476,0.42334348
0.5115895,0.48943642,0.3731341
0.5249463,0.50697666,0.3085199
0.45836592,0.43614787,0.27045494
0.39653513,0.38982713,0.2202977
0.4184343,0.39643675,0.16827881
0.42115867,0.39552957,0.13259888
0.34402883,0.35029903,0.11370584
0.2927673,0.29646203,0.14868939
0.29452163,0.3038533,0.28404248
0.3249436,0.3465656,0.43786785
0.33917403,0.38386893,0.5388499
0.34968483,0.41071925,0.60124874
0.3681162,0.4312725,0.63106114
0.38294908,0.46487808,0.6771269
0.39263183,0.48117757,0.69173235
0.4279833,0.49645367,0.64980054
0.43941325,0.5120916,0.6360918
0.43120372,0.510328,0.6469048
0.426182,0.5202462,0.6689953
0.4189537,0.53020126,0.6910582
0.39153478,0.5285622,0.7200191
0.37597057,0.51811033,0.7571956
0.38272947,0.49692774,0.71313477
0.40433648,0.43168658,0.5750514
0.4236194,0.38830683,0.45426962
0.4306824,0.35802647,0.36607
0.43227714,0.33987516,0.32155144
0.4319689,0.33730143,0.319897
0.43349338,0.33815247,0.32230598
0.43541822,0.34465784,0.33819282
0.43583232,0.3491014,0.35324922
0.43603122,0.35743192,0.38250336
0.44323266,0.38368833,0.43344498
0.4511604,0.41232795,0.4815489
0.46075448,0.45901835,0.5514876
0.44872653,0.4986205,0.63881016
0.4414669,0.5232989,0.6859138
0.43475458,0.53578556,0.70992476
0.4291802,0.5455366,0.7297332
0.42500836,0.55205435,0.7393272
0.4202055,0.5519657,0.7408284
0.41721693,0.55224884,0.73817825
0.4162992,0.5488376,0.72622603
0.4176658,0.53110856,0.6829579
0.42804077,0.47518533,0.5601771
0.43157,0.43167567,0.46729952
0.4211069,0.38476285,0.3828219
0.44121686,0.3784455,0.30709928
0.45292208,0.36870196,0.23180246
0.45091975,0.3570497,0.17157334
0.4622284,0.35231465,0.09569371
0.45625836,0.35042346,0.08307749
0.44222608,0.35372287,0.12581173
0.4411624,0.35489887,0.117562234
0.3891294,0.30959147,0.090822995
0.38110307,0.28598735,0.082254976
0.3869514,0.2821329,0.07907379
0.40726316,0.29095542,0.07444954
0.44266042,0.32108933,0.07506958
0.450514,0.33030653,0.07478663
0.47117388,0.34732467,0.056593925
0.46250597,0.3456959,0.047512233
0.45727682,0.34654826,0.047459602
0.45559075,0.35024512,0.046910226
0.45141098,0.3523325,0.050493747
0.44166714,0.35398751,0.07477382
0.4337016,0.35905963,0.11179796
0.42502713,0.36561835,0.16104761
0.41196886,0.378205,0.24797139
0.41373566,0.3902008,0.27171513
0.40616098,0.39277577,0.28444946
0.40239716,0.39785022,0.2946673
0.40145296,0.40112925,0.2854486
0.39842072,0.39879844,0.25465024
0.39350003,0.3998397,0.2524731
0.4092836,0.42262918,0.26186603
0.42915672,0.4456148,0.2584799
0.42870057,0.45420122,0.27032638
0.45657024,0.48370367,0.27706882
0.45591533,0.5004204,0.29028416
0.42411658,0.49386394,0.32080376
0.42323658,0.5052786,0.33756226
0.43519223,0.52862316,0.3506659
0.43056065,0.5403866,0.36849862
0.42414048,0.5485005,0.37668037
0.41059256,0.55298114,0.3759007
0.40571502,0.60115105,0.3273853
